,name,company,year,Price,kms_driven,fuel_type
182,Maruti S-Presso VXI,Maruti,2020,480000,41370,Petrol
183,Hyundai Creta 1.6,Hyundai,2016,875000,41266,Petrol
184,Hyundai Verna VTVT,Hyundai,2018,990000,31740,Petrol
185,Maruti Ciaz VXi,Maruti,2015,615000,77876,Petrol
186,Skoda Kushaq 1.5,Skoda,2022,2050000,9500,Petrol
187,Hyundai Grand i10,Hyundai,2019,625000,28387,Petrol
188,Mercedes-Benz M-Class ML,Mercedes-Benz,2015,2700000,120000,Diesel
189,Hyundai Grand i10,Hyundai,2017,450000,20000,Petrol
190,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2020,4250000,30686,Diesel
191,Tata Indica eV2,Tata,2013,100000,120000,Diesel
192,Mahindra Bolero Power,Mahindra,2018,600000,184000,Diesel
193,Honda City 1.5,Honda,2009,400000,40000,Petrol
194,Maruti Ciaz Delta,Maruti,2015,625000,55000,Diesel
195,Hyundai Grand i10,Hyundai,2019,575000,38000,Petrol
196,Audi Q3 30,Audi,2017,2350000,40000,Petrol
197,Hyundai Santro GS,Hyundai,2006,135000,60000,Petrol
198,Mahindra Bolero SLX,Mahindra,2009,300000,110000,Diesel
199,Maruti Swift LDI,Maruti,2011,210000,143000,Diesel
200,Tata Indica Aqua,Tata,2012,125000,110000,Diesel
201,Mahindra KUV 100,Mahindra,2017,475000,58000,Diesel
202,Honda City i,Honda,2014,550000,65000,Petrol
203,Tata Harrier XZ,Tata,2021,1700000,50000,Diesel
204,Tata Zest Revotron,Tata,2015,349000,55000,Petrol
205,Land Rover Discovery,Land,2021,7000000,19500,Diesel
206,Mahindra XUV500 AT,Mahindra,2016,925000,78000,Diesel
207,Honda City V,Honda,2010,390000,58000,Petrol
208,Mahindra XUV500 W10,Mahindra,2017,1025000,91000,Diesel
209,Mahindra XUV500 AT,Mahindra,2016,1125000,30000,Diesel
210,Maruti Baleno 1.2,Maruti,2018,725000,44153,Petrol
211,Mercedes-Benz C-Class C,Mercedes-Benz,2018,3450000,21000,Diesel
212,Kia Seltos HTX,Kia,2020,1400000,19000,Petrol
213,Hyundai Alcazar Signature,Hyundai,2021,1950000,27300,Diesel
214,Skoda Superb Laurin,Skoda,2021,3400000,31001,Petrol
215,Renault KWID 1.0,Renault,2017,310000,50000,Petrol
216,Maruti Wagon R,Maruti,2005,130000,77000,Petrol
217,Maruti Swift Dzire,Maruti,2018,650000,53000,Petrol
218,Datsun RediGO S,Datsun,2017,275000,20000,Petrol
219,Honda Brio S,Honda,2013,350000,72000,Petrol
220,Hyundai Creta 1.6,Hyundai,2016,890000,26000,Petrol
221,Honda Amaze S,Honda,2015,425000,66000,Diesel
222,Jaguar XF 2.2,Jaguar,2014,2200000,69619,Diesel
223,Maruti Alto K10,Maruti,2018,430000,30000,Petrol
224,Maruti Wagon R,Maruti,2009,211000,61000,Petrol
225,Renault Duster 110PS,Renault,2018,975000,31000,Diesel
226,Volkswagen Polo GT,Volkswagen,2015,625000,66000,Petrol
227,Land Rover Discovery,Land,2021,7200000,7700,Petrol
228,Mahindra XUV700 AX3,Mahindra,2022,1750000,9000,Petrol
229,Tata Tigor 1.2,Tata,2017,340000,60000,Petrol
230,Skoda Fabia 1.2,Skoda,2009,110000,110000,Petrol
231,Kia Seltos HTX,Kia,2020,1675000,51001,Diesel
232,Jeep Compass 2.0,Jeep,2020,2100000,56207,Diesel
233,Mercedes-Benz GLA Class,Mercedes-Benz,2019,2690000,58000,Diesel
234,Hyundai i20 Diesel,Hyundai,2018,650000,73290,Diesel
235,Hyundai Verna 1.6,Hyundai,2017,790000,44283,Diesel
236,Maruti Celerio VXI,Maruti,2016,425000,48000,Petrol
237,Honda City 1.5,Honda,2010,340000,107500,Petrol
239,Maruti SX4 Celebration,Maruti,2009,200000,90000,Petrol
240,Maruti Vitara Brezza,Maruti,2021,775000,10000,Petrol
241,Maruti Wagon R,Maruti,2011,215000,120000,Petrol
242,Maruti Wagon R,Maruti,2011,237000,120000,Petrol
244,Mahindra KUV 100,Mahindra,2018,425000,46000,Petrol
245,Nissan Sunny XL,Nissan,2017,575000,28000,Diesel
246,Honda WR-V SV,Honda,2020,825000,24000,Petrol
247,Honda WR-V i-VTEC,Honda,2018,690000,23000,Petrol
248,Honda WR-V i-VTEC,Honda,2018,775000,24300,Petrol
249,Honda WR-V i-VTEC,Honda,2019,790000,51000,Petrol
250,Kia Seltos GTX,Kia,2020,1490000,6000,Petrol
251,Kia Seltos GTX,Kia,2021,1725000,12600,Petrol
252,Jeep Meridian Limited,Jeep,2022,3700000,3500,Diesel
253,Hyundai i10 Era,Hyundai,2011,229999,120000,Petrol
254,Hyundai Grand i10,Hyundai,2022,750000,5000,Cng
255,Hyundai Santro Xing,Hyundai,2010,135000,120000,Petrol
256,Honda Jazz V,Honda,2018,695000,40000,Petrol
257,Honda City i-VTEC,Honda,2018,785000,96000,Petrol
258,Honda City 1.5,Honda,2010,325000,67000,Petrol
259,Honda City i-VTEC,Honda,2018,790000,72000,Petrol
